,FCR,Length,method,Thresholding_type
324,0.08319467554076543,0.8278559910091384,SCOP,T-test
325,0.015000000000000013,4.566208662620377,OCP,T-test
326,0.008333333333333304,8.163262259488306,ACP,T-test
327,0.0874125874125874,0.92981465521104,SCOP,T-cal
328,0.010526315789473717,4.566208662620377,OCP,T-cal
329,0.0035087719298245723,11.517244039370857,ACP,T-cal
330,0.0993788819875776,0.790971702429482,SCOP,T-pos
331,0.018662519440124425,4.566208662620377,OCP,T-pos
332,0.01244167962674958,7.9053666347343965,ACP,T-pos
333,0.10482529118136441,1.5888823847198161,SCOP,T-test
334,0.025000000000000022,4.4036078756052,OCP,T-test
335,0.0050000000000000044,8.421183464233357,ACP,T-test
336,0.10118043844856661,1.590207794248664,SCOP,T-cal
337,0.02195945945945943,4.4036078756052,OCP,T-cal
338,0.0050675675675675436,8.49995506998199,ACP,T-cal
339,0.11743450767841013,1.5921538059909042,SCOP,T-pos
340,0.04611211573236895,4.4036078756052,OCP,T-pos
341,0.02622061482820981,6.257381922353014,ACP,T-pos
342,0.0765391014975042,0.7075024614248933,SCOP,T-test
343,0.030000000000000027,4.563200239686196,OCP,T-test
344,0.018333333333333313,7.928905161324737,ACP,T-test
345,0.05591397849462365,0.7094384318389458,SCOP,T-cal
346,0.010775862068965525,4.563200239686196,OCP,T-cal
347,0.004310344827586188,9.06452969081399,ACP,T-cal
348,0.09934171154997007,3.557339046676997,SCOP,T-pos
349,0.04970059880239519,4.563200239686196,OCP,T-pos
350,0.04071856287425146,5.045322986618498,ACP,T-pos
351,0.1014975041597338,0.9296065226098299,SCOP,T-test
352,0.030000000000000027,4.501115016255695,OCP,T-test
353,0.013333333333333308,8.260067194397308,ACP,T-test
354,0.08498583569405094,0.9945869841928974,SCOP,T-cal
355,0.02840909090909094,4.501115016255695,OCP,T-cal
356,0.005681818181818232,10.665942431510786,ACP,T-cal
357,0.10019267822736033,0.9228194665733065,SCOP,T-pos
358,0.030888030888030937,4.501115016255695,OCP,T-pos
359,0.01158301158301156,8.741492869979998,ACP,T-pos
360,0.09317803660565727,0.9021366531480773,SCOP,T-test
361,0.023333333333333317,4.697873599218411,OCP,T-test
362,0.010000000000000009,8.76194946584571,ACP,T-test
363,0.0931506849315068,0.9325711461975925,SCOP,T-cal
364,0.02197802197802201,4.697873599218411,OCP,T-cal
365,0.008241758241758212,10.730499176178835,ACP,T-cal
366,0.09974259974259969,2.5128188919265466,SCOP,T-pos
367,0.05730843528654217,4.697873599218411,OCP,T-pos
368,0.04700579523502901,5.427834516222441,ACP,T-pos
369,0.12146422628951747,0.86015489115565,SCOP,T-test
370,0.01666666666666672,4.82178322330146,OCP,T-test
371,0.008333333333333304,8.594244226113869,ACP,T-test
372,0.15298507462686572,0.9489785535856639,SCOP,T-cal
373,0.014981273408239737,4.82178322330146,OCP,T-cal
374,0.0074906367041198685,12.208487404637475,ACP,T-cal
375,0.1061452513966481,1.326086484239754,SCOP,T-pos
376,0.02236719478098792,4.82178322330146,OCP,T-pos
377,0.012115563839701804,6.41775040677189,ACP,T-pos
378,0.09151414309484196,1.2770609481262016,SCOP,T-test
379,0.02833333333333332,4.378638137612319,OCP,T-test
380,0.013333333333333308,7.613171211627732,ACP,T-test
381,0.09337349397590367,1.4730043423308055,SCOP,T-cal
382,0.012084592145015116,4.378638137612319,OCP,T-cal
383,0.0,9.884008354802184,ACP,T-cal
384,0.10687960687960685,3.1089524991898925,SCOP,T-pos
385,0.062077443146896116,4.378638137612319,OCP,T-pos
386,0.053472649047326404,4.776322970326934,ACP,T-pos
387,0.11647254575707155,1.0900765993705068,SCOP,T-test
388,0.03166666666666662,4.712567052282871,OCP,T-test
